project,availability_type,exogenous_availability_independent_scenario_id,exogenous_availability_weather_scenario_id,exogenous_availability_independent_bt_hrz_scenario_id,exogenous_availability_weather_bt_hrz_scenario_id,endogenous_availability_scenario_id
PJM_E_NUCLEAR,exogenous,,,3,2,
PJM_E_OIL,exogenous,,,3,2,
PJM_E_OSW,exogenous,,,3,2,
PJM_E_OTHER,exogenous,,,3,2,
PJM_E_PUMPED_STORAGE,exogenous,,,3,2,
PJM_E_UPV,exogenous,,,3,2,
PJM_S_BATTERY_STORAGE,exogenous,,,3,4,
PJM_S_BIOMASS,exogenous,,,3,4,
PJM_S_COAL,exogenous,,,3,4,
PJM_S_DGPV,exogenous,,,3,4,
PJM_S_DR,exogenous,,,3,4,
PJM_S_GAS_DUAL_FUEL,exogenous,,,3,4,
PJM_S_GAS_SINGLE_FUEL,exogenous,,,3,4,
PJM_S_GEOTHERMAL,exogenous,,,3,4,
PJM_S_HYDRO,exogenous,,,3,4,
PJM_S_LBW,exogenous,,,3,4,
PJM_S_NUCLEAR,exogenous,,,3,4,
PJM_S_OIL,exogenous,,,3,4,
PJM_S_OSW,exogenous,,,3,4,
PJM_S_OTHER,exogenous,,,3,4,
PJM_S_PUMPED_STORAGE,exogenous,,,3,4,
PJM_S_UPV,exogenous,,,3,4,
PJM_W_BATTERY_STORAGE,exogenous,,,3,2,
PJM_W_BIOMASS,exogenous,,,3,2,
PJM_W_COAL,exogenous,,,3,2,
PJM_W_DGPV,exogenous,,,3,2,
PJM_W_DR,exogenous,,,3,2,
PJM_W_GAS_DUAL_FUEL,exogenous,,,3,2,
PJM_W_GAS_SINGLE_FUEL,exogenous,,,3,2,
PJM_W_GEOTHERMAL,exogenous,,,3,2,
PJM_W_HYDRO,exogenous,,,3,2,
PJM_W_LBW,exogenous,,,3,2,
PJM_W_NUCLEAR,exogenous,,,3,2,
PJM_W_OIL,exogenous,,,3,2,
PJM_W_OTHER,exogenous,,,3,2,
PJM_W_PUMPED_STORAGE,exogenous,,,3,2,
PJM_W_UPV,exogenous,,,3,2,
SASK_POWER_PROXY_GEN,exogenous,,,3,2,
SERC_C_BATTERY_STORAGE,exogenous,,,3,2,
SERC_C_BIOMASS,exogenous,,,3,2,
SERC_C_COAL,exogenous,,,3,2,
SERC_C_DGPV,exogenous,,,3,2,
SERC_C_DR,exogenous,,,3,2,
SERC_C_GAS_DUAL_FUEL,exogenous,,,3,2,
SERC_C_GAS_SINGLE_FUEL,exogenous,,,3,2,
SERC_C_GEOTHERMAL,exogenous,,,3,2,
SERC_C_HYDRO,exogenous,,,3,2,
SERC_C_LBW,exogenous,,,3,2,
SERC_C_NUCLEAR,exogenous,,,3,2,
SERC_C_OIL,exogenous,,,3,2,
SERC_C_OTHER,exogenous,,,3,2,
SERC_C_PUMPED_STORAGE,exogenous,,,3,2,
SERC_C_UPV,exogenous,,,3,2,
SERC_E_BATTERY_STORAGE,exogenous,,,3,2,
SERC_E_BIOMASS,exogenous,,,3,2,
SERC_E_COAL,exogenous,,,3,2,
SERC_E_DGPV,exogenous,,,3,2,
SERC_E_DR,exogenous,,,3,2,
SERC_E_GAS_DUAL_FUEL,exogenous,,,3,2,
SERC_E_GAS_SINGLE_FUEL,exogenous,,,3,2,
SERC_E_GEOTHERMAL,exogenous,,,3,2,
SERC_E_HYDRO,exogenous,,,3,2,
SERC_E_LBW,exogenous,,,3,2,
SERC_E_NUCLEAR,exogenous,,,3,2,
SERC_E_OIL,exogenous,,,3,2,
SERC_E_OTHER,exogenous,,,3,2,
SERC_E_PUMPED_STORAGE,exogenous,,,3,2,
SERC_E_UPV,exogenous,,,3,2,
SERC_FL_BATTERY_STORAGE,exogenous,,,3,2,
SERC_FL_BIOMASS,exogenous,,,3,2,
SERC_FL_COAL,exogenous,,,3,2,
SERC_FL_DGPV,exogenous,,,3,2,
SERC_FL_DR,exogenous,,,3,2,
SERC_FL_GAS_DUAL_FUEL,exogenous,,,3,2,
SERC_FL_GAS_SINGLE_FUEL,exogenous,,,3,2,
SERC_FL_GEOTHERMAL,exogenous,,,3,2,
SERC_FL_HYDRO,exogenous,,,3,2,
SERC_FL_LBW,exogenous,,,3,2,
SERC_FL_NUCLEAR,exogenous,,,3,2,
SERC_FL_OIL,exogenous,,,3,2,
SERC_FL_OTHER,exogenous,,,3,2,
SERC_FL_PUMPED_STORAGE,exogenous,,,3,2,
SERC_FL_UPV,exogenous,,,3,2,
SERC_SE_BATTERY_STORAGE,exogenous,,,3,2,
SERC_SE_BIOMASS,exogenous,,,3,2,
SERC_SE_COAL,exogenous,,,3,2,
SERC_SE_DGPV,exogenous,,,3,2,
SERC_SE_DR,exogenous,,,3,2,
SERC_SE_GAS_DUAL_FUEL,exogenous,,,3,2,
SERC_SE_GAS_SINGLE_FUEL,exogenous,,,3,2,
SERC_SE_GEOTHERMAL,exogenous,,,3,2,
SERC_SE_HYDRO,exogenous,,,3,2,
SERC_SE_LBW,exogenous,,,3,2,
SERC_SE_NUCLEAR,exogenous,,,3,2,
SERC_SE_OIL,exogenous,,,3,2,
SERC_SE_OTHER,exogenous,,,3,2,
SERC_SE_PUMPED_STORAGE,exogenous,,,3,2,
SERC_SE_UPV,exogenous,,,3,2,
SPP_N_BATTERY_STORAGE,exogenous,,,3,2,
SPP_N_BIOMASS,exogenous,,,3,2,
SPP_N_COAL,exogenous,,,3,2,
SPP_N_DGPV,exogenous,,,3,2,
SPP_N_DR,exogenous,,,3,2,
SPP_N_GAS_DUAL_FUEL,exogenous,,,3,2,
SPP_N_GAS_SINGLE_FUEL,exogenous,,,3,2,
SPP_N_GEOTHERMAL,exogenous,,,3,2,
SPP_N_HYDRO,exogenous,,,3,2,
SPP_N_LBW,exogenous,,,3,2,
SPP_N_NUCLEAR,exogenous,,,3,2,
SPP_N_OIL,exogenous,,,3,2,
SPP_N_OTHER,exogenous,,,3,2,
SPP_N_PROXY_GEN,exogenous,,,3,2,
SPP_N_PUMPED_STORAGE,exogenous,,,3,2,
SPP_N_UPV,exogenous,,,3,2,
SPP_S_BATTERY_STORAGE,exogenous,,,3,2,
SPP_S_BIOMASS,exogenous,,,3,2,
SPP_S_COAL,exogenous,,,3,2,
SPP_S_DGPV,exogenous,,,3,2,
SPP_S_DR,exogenous,,,3,2,
SPP_S_GAS_DUAL_FUEL,exogenous,,,3,2,
SPP_S_GAS_SINGLE_FUEL,exogenous,,,3,2,
SPP_S_GEOTHERMAL,exogenous,,,3,2,
SPP_S_HYDRO,exogenous,,,3,2,
SPP_S_LBW,exogenous,,,3,2,
SPP_S_NUCLEAR,exogenous,,,3,2,
SPP_S_OIL,exogenous,,,3,2,
SPP_S_OTHER,exogenous,,,3,2,
SPP_S_PROXY_GEN,exogenous,,,3,2,
SPP_S_PUMPED_STORAGE,exogenous,,,3,2,
SPP_S_UPV,exogenous,,,3,2,
